60	0	0	0
62	0	0	0
64	0	0	0
66	0	0	0
68	0	0	0
70	0	0	0
72	0	0	0
74	0	0	0
76	0	0	0
78	0	0	0
80	0	0	0
82	8	8	8
84	9	9	9
86	11	11	11
88	19	19	19
90	29	29	29
92	38	38	38
94	50	50	50
96	57	57	57
98	65	65	65
100	78	78	78
102	92	92	92
104	99	99	99
106	112	112	112
108	120	120	120
110	131	131	131
112	141	141	141
114	153	153	153
116	161	161	161
118	170	170	170
120	187	187	187
122	191	191	191
124	202	202	202
126	211	211	211
128	222	222	222
130	233	233	233
132	240	240	240
134	253	253	253
136	267	267	267
138	276	276	276
140	287	287	287
142	295	295	295
144	307	307	307
146	319	319	319
148	328	328	328
150	338	338	338
152	347	347	347
154	355	355	355
156	366	366	366
158	376	376	376
160	386	386	386
162	396	396	396
164	411	411	411
166	422	422	422
168	430	430	430
170	443	443	443
172	453	453	453
174	462	462	462
176	472	472	472
178	480	480	480
180	490	490	490
182	498	498	498
184	508	508	508
186	517	517	517
188	529	529	529
190	539	539	539
192	545	545	545
194	559	559	559
196	566	566	566
198	577	577	577
200	586	586	586
202	591	591	591
204	600	600	600
206	611	611	611
208	617	617	617
210	627	627	627
212	640	640	640
214	650	650	650
216	657	657	657
218	666	666	666
220	676	676	676
222	688	688	688
224	694	694	694
226	707	707	707
228	721	721	721
230	727	727	727
232	740	740	740
234	747	747	747
236	761	761	761
238	772	772	772
240	778	778	778
242	792	792	792
244	802	802	802
246	817	817	817
248	824	824	824
250	835	835	835
252	847	847	847
254	857	857	857
256	870	870	870
258	881	881	881
260	890	890	890
262	905	905	905
264	911	911	911
266	922	922	922
268	930	930	930
270	943	943	943
272	953	953	953
274	963	963	963
276	973	973	973
278	983	983	983
280	990	990	990
282	999	999	999
284	1009	1009	1009
286	1013	1013	1013
288	1017	1017	1017
290	1020	1020	1020
292	1021	1021	1021
294	1024	1024	1024
